255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255
255	255	255	255	255	255	252	156	88	44	80	136	248	255	255	255	255	255
255	255	255	255	255	220	48	0	0	0	0	0	48	220	255	255	255	255
255	255	255	255	255	72	0	0	0	0	0	0	0	60	255	255	255	255
255	255	255	255	184	0	0	0	0	0	0	0	0	0	168	255	255	255
255	255	255	252	44	0	0	0	100	160	88	0	0	0	112	255	11	255
255	255	255	152	0	0	0	48	255	255	180	0	0	0	76	255	15	255
255	255	255	180	160	160	160	196	255	255	120	0	0	0	112	255	255	255
255	255	255	255	255	255	255	255	255	252	48	0	0	0	168	255	255	255
255	23	255	255	255	255	255	255	255	112	0	0	0	48	252	255	255	255
255	17	255	255	255	255	255	255	140	0	0	0	4	196	255	255	255	255
255	255	255	255	255	255	255	168	0	0	0	0	156	255	255	255	255	255
255	255	255	255	255	255	144	4	0	0	0	132	255	255	255	255	255	255
255	255	255	255	255	120	0	0	0	0	120	255	255	255	255	255	255	255
255	255	255	255	188	0	0	0	0	12	64	64	64	64	112	255	255	255
255	255	255	255	36	0	0	0	0	0	0	0	0	0	64	255	255	255
255	255	255	236	0	0	0	0	0	0	0	0	0	0	64	255	255	255
255	255	255	212	0	0	0	0	0	0	0	0	0	0	64	255	255	255
255	255	255	232	160	160	160	160	160	160	160	160	160	160	184	255	255	255
255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255
